NOMBRE,X,Y
BARRIO AGUABLANCA,1062334,871018
BARRIO AGUABLANCA,1062329,870968
BARRIO AGUABLANCA,1062326,870927
BARRIO AGUABLANCA,1062325,870913
BARRIO AGUABLANCA,1062308,870915
BARRIO AGUABLANCA,1062227,870923
BARRIO AGUABLANCA,1062152,870931
BARRIO AGUABLANCA,1062132,870934
BARRIO AGUABLANCA,1062083,870939
BARRIO AGUABLANCA,1061976,870951
BARRIO AGUABLANCA,1061954,870954
BARRIO AGUABLANCA,1061937,870955
BARRIO AGUABLANCA,1061929,870956
BARRIO AGUABLANCA,1061958,871222
BARRIO AGUABLANCA,1061961,871260
BARRIO AGUABLANCA,1061967,871279
BARRIO AGUABLANCA,1061969,871292
BARRIO AGUABLANCA,1061974,871316
BARRIO AGUABLANCA,1061975,871326
BARRIO AGUABLANCA,1061992,871474
BARRIO AGUABLANCA,1061994,871491
BARRIO AGUABLANCA,1062002,871560
BARRIO AGUABLANCA,1062007,871590
BARRIO AGUABLANCA,1062012,871633
BARRIO AGUABLANCA,1062039,871613
BARRIO AGUABLANCA,1062047,871613
BARRIO AGUABLANCA,1062081,871611
BARRIO AGUABLANCA,1062098,871605
BARRIO AGUABLANCA,1062116,871595
BARRIO AGUABLANCA,1062129,871584
BARRIO AGUABLANCA,1062162,871547
BARRIO AGUABLANCA,1062201,871502
BARRIO AGUABLANCA,1062219,871485
BARRIO AGUABLANCA,1062247,871470
BARRIO AGUABLANCA,1062256,871467
BARRIO AGUABLANCA,1062263,871485
BARRIO AGUABLANCA,1062266,871485
BARRIO AGUABLANCA,1062272,871496
BARRIO AGUABLANCA,1062274,871495
BARRIO AGUABLANCA,1062280,871491
BARRIO AGUACATAL,1056915,873714
BARRIO AGUACATAL,1056907,873716
BARRIO AGUACATAL,1056869,873749
BARRIO AGUACATAL,1056859,873756
BARRIO AGUACATAL,1056835,873755
BARRIO AGUACATAL,1056789,873760
BARRIO AGUACATAL,1056772,873760
BARRIO AGUACATAL,1056741,873768
BARRIO AGUACATAL,1056707,873773
BARRIO AGUACATAL,1056690,873771
BARRIO AGUACATAL,1056668,873767
BARRIO AGUACATAL,1056646,873774
BARRIO AGUACATAL,1056617,873797
BARRIO AGUACATAL,1056588,873822
BARRIO AGUACATAL,1056573,873824
BARRIO AGUACATAL,1056546,873814
BARRIO AGUACATAL,1056527,873809
BARRIO AGUACATAL,1056518,873807
BARRIO AGUACATAL,1056491,873799
BARRIO AGUACATAL,1056481,873804
BARRIO AGUACATAL,1056464,873811
BARRIO AGUACATAL,1056441,873815
BARRIO AGUACATAL,1056432,873818
BARRIO AGUACATAL,1056414,873826
BARRIO AGUACATAL,1056388,873836
BARRIO AGUACATAL,1056372,873848
BARRIO AGUACATAL,1056360,873861
BARRIO AGUACATAL,1056358,873879
BARRIO AGUACATAL,1056361,873885
BARRIO AGUACATAL,1056387,873907
BARRIO AGUACATAL,1056399,873920
BARRIO AGUACATAL,1056403,873929
BARRIO AGUACATAL,1056405,873939
BARRIO AGUACATAL,1056402,873952
BARRIO AGUACATAL,1056391,873961
BARRIO AGUACATAL,1056381,873964
BARRIO AGUACATAL,1056348,873977
BARRIO AGUACATAL,1056357,873990
BARRIO AGUACATAL,1056381,873983
BARRIO AGUACATAL,1056395,873983
BARRIO AGUACATAL,1056424,873983
BARRIO AGUACATAL,1056442,873975
BARRIO AGUACATAL,1056478,873934
BARRIO AGUACATAL,1056485,873924
BARRIO AGUACATAL,1056491,873916
BARRIO AGUACATAL,1056528,873923
BARRIO AGUACATAL,1056560,873946
BARRIO AGUACATAL,1056572,873955
BARRIO AGUACATAL,1056594,873978
BARRIO AGUACATAL,1056597,873985
BARRIO AGUACATAL,1056602,874014
BARRIO AGUACATAL,1056601,874027
BARRIO AGUACATAL,1056615,874044
BARRIO AGUACATAL,1056620,874041
BARRIO AGUACATAL,1056636,874024
BARRIO AGUACATAL,1056645,874012
BARRIO AGUACATAL,1056661,873975
BARRIO AGUACATAL,1056663,873967
BARRIO AGUACATAL,1056683,873952
BARRIO AGUACATAL,1056720,873971
